product_url,product_name,av_id,product_sku,product_price,product_img,product_description,color
https://www.nike.com/t/run-defy-womens-road-running-shoes-rdVJVc/HM9593-103,Nike Run Defy,15,HM9593-103,$60,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/71c044e6-b2e4-4989-b11a-0f850b1951be/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/4cb2359c-19b4-45fc-9fd3-ef4fa09ff25f/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/15b0dad5-25ec-4ae1-ac7d-0490e18e7d16/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b9987b30-1db4-4162-bc04-6526c2e1a94e/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/246d7ca5-42b8-4196-8992-70ce0deb869e/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0b0ec2ca-72ef-4f52-8e6b-af061ce0c253/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/dd75d532-384a-4cae-8675-61793e4d0518/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/861987fc-4074-4617-b331-f4f3dfd378ae/W+NIKE+RUN+DEFY.png","Run by your own rules in the all-new Nike Defy. A foam midsole, breathable upper and reliable traction combine to make a shoe that’s raring for runs of all lengths and paces.



Shown: White/Black/Pure Platinum
Style: HM9593-103",White/Black/Pure Platinum
https://www.nike.com/t/streakfly-2-road-racing-shoes-I1ybhouy/HF6416-100,Nike Streakfly 2,11,HF6416-100,$190,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6e7323eb-4401-476a-8cb5-e496bdc133bb/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/4e583eae-1f7b-4d52-b2e2-f3db6a78d66b/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ca64f8c2-a42c-4c1e-a049-d4b19588d388/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/8ca7a63f-5c2b-429e-ae68-6beef75de539/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1a3b812f-71e5-445d-a48c-54ce7554f126/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b072ef1a-2677-451a-83e1-397085c2733e/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/d097aedc-d848-45d2-b751-8ec8b2db0c91/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/16cd1925-de94-4f82-831c-9c126c3b952c/ZOOMX+STREAKFLY+2.png","The Streakfly 2 can help you out-kick the opposition on race day. This speedster now comes with a carbon fiber Flyplate, complementing the ultraresponsive ZoomX foam midsole and minimal upper you loved on the original. From the 10K to the mile, it can help you take your distances to the next level.



Shown: White/Obsidian Mist/Pure Platinum/Gridiron
Style: HF6416-100",White/Obsidian Mist/Pure Platinum/Gridiron
https://www.nike.com/t/run-defy-womens-road-running-shoes-rdVJVc/HM9593-001,Nike Run Defy,15,HM9593-001,$60,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/c7e20774-8cd0-461b-9929-c38122f0fdf4/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0dba3650-deff-43a8-a232-0e83a0179026/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b24213cc-3837-4019-bd64-9b14083f54d9/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a2434851-6792-43d2-ada0-7836b4c519e3/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/c02de93a-d6e4-4c0a-b369-b48fd7a9b951/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/e6e34051-891f-44e9-b880-c5ed1c5af603/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/2118fe85-742d-4c43-b53f-bca0470f4feb/W+NIKE+RUN+DEFY.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1eae7698-22bc-448d-8990-7ad16d272b3a/W+NIKE+RUN+DEFY.png","Run by your own rules in the all-new Nike Defy. A foam midsole, breathable upper and reliable traction combine to make a shoe that’s raring for runs of all lengths and paces.



Shown: Black/Hyper Pink/Pink Foam/Elemental Pink
Style: HM9593-001",Black/Hyper Pink/Pink Foam/Elemental Pink
https://www.nike.com/t/streakfly-2-road-racing-shoes-I1ybhouy/HF6416-600,Nike Streakfly 2,11,HF6416-600,$190,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a826ab82-b7a7-4e73-b925-8bff701aa986/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/aca5dce6-4eca-40ce-8e47-50762643a109/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a085eeb7-8246-4499-ab05-c19d946d3b81/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/dddb39b7-3b5c-48ca-b952-f079c04e3452/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1d16b35f-71ba-401c-8b56-f829258cf7cf/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/40c347cc-0a3d-449b-9c65-b6d4368467af/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/5cf95e54-723c-4479-ad27-8846e0354ae4/ZOOMX+STREAKFLY+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/86831514-902f-4ab1-9ce0-3da8913a1139/ZOOMX+STREAKFLY+2.png","The Streakfly 2 can help you out-kick the opposition on race day. This speedster now comes with a carbon fiber Flyplate, complementing the ultraresponsive ZoomX foam midsole and minimal upper you loved on the original. From the 10K to the mile, it can help you take your distances to the next level.



Shown: Bright Crimson/Hyper Orange/Gridiron/Lime Blast
Style: HF6416-600",Bright Crimson/Hyper Orange/Gridiron/Lime Blast
https://www.nike.com/t/zoom-fly-6-womens-road-racing-shoes-mcpFkg/FN8455-701,Nike Zoom Fly 6,1,FN8455-701,$180,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/3f017ee7-337f-4377-96d8-5189e783d67b/W+ZOOM+FLY+6.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/e0f4ad30-2f3e-4073-a66d-97f8587a4690/W+ZOOM+FLY+6.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a47766ba-7514-4ce1-a3d4-ba0f4ccec0f0/W+ZOOM+FLY+6.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/2ecfe61d-6a72-413d-baa4-bd1748a9a180/W+ZOOM+FLY+6.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/f3d79e92-6b3a-4b5d-9563-51a15594522a/W+ZOOM+FLY+6.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/dc7b3605-6edc-4713-83c7-e68cd406f19a/W+ZOOM+FLY+6.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/68a977f5-50e4-4deb-beae-58ff5b6300a3/W+ZOOM+FLY+6.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/969101fc-73a4-4ea9-94da-e56a7f8d104e/W+ZOOM+FLY+6.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0cf36d43-2779-4d58-87ae-0938f265d164/W+ZOOM+FLY+6.png","The Zoom Fly 6 is with you every step of your run. Lighter than the Zoom Fly 5, its responsive ZoomX foam adds energy return to each stride, while a carbon fiber Flyplate helps propel you to the finish line.



Shown: Barely Volt/Volt/Blue Tint/Off Noir
Style: FN8455-701",Barely Volt/Volt/Blue Tint/Off Noir
https://www.nike.com/t/structure-25-se-womens-road-running-shoes-qpkKMs/HV3177-500,Nike Structure 25 SE,12,HV3177-500,$124.97,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0ce912ee-fc13-44a2-b292-b6ae26d8004d/W+NIKE+STRUCTURE+25+SE.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/66d6f1bd-b303-42f7-ae0b-c7eec4eae6a3/W+NIKE+STRUCTURE+25+SE.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/101bcb57-dd5d-4d20-ae3b-7f5f6803dfbe/W+NIKE+STRUCTURE+25+SE.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0063ac15-03c9-470d-adb9-d600fdf18058/W+NIKE+STRUCTURE+25+SE.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/9ea4c830-8db3-411a-906f-02559c00980a/W+NIKE+STRUCTURE+25+SE.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/28ae9b8a-4e71-4019-b20d-286b5d287db1/W+NIKE+STRUCTURE+25+SE.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ecadec68-5bbb-40ae-ad47-80f5474fcfe5/W+NIKE+STRUCTURE+25+SE.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/583e45ea-8c6d-4c40-9987-325ed3078d44/W+NIKE+STRUCTURE+25+SE.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/fbd621fa-6af1-4fa5-9f29-e6c5831b0e64/W+NIKE+STRUCTURE+25+SE.png","Supportive cushioning provides steadiness for everyday runs. Experience a stable platform without sacrificing performance with a combination of Cushlon 3.0 foam and an Air Zoom unit. Plus, a higher stack height makes it more comfortable, stable and supportive than ever.



Shown: Amethyst Tint/Black/Light Lemon Twist/Metallic Gold
Style: HV3177-500",Amethyst Tint/Black/Light Lemon Twist/Metallic Gold
https://www.nike.com/t/pegasus-41-womens-road-running-shoes-tSbZGh/FD2723-102,Nike Pegasus 41,6,FD2723-102,$145,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/9bcb6197-54bd-47e6-9e61-9be30ce32a35/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/916662ef-1490-4bb4-8429-f8dfe9990d28/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/66603404-9918-47c9-b5b4-1163af9594ce/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/7817e09e-5986-4951-94d0-17aa6cbd214e/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/301dab75-e30d-4586-b89f-5ef9d7800af6/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/3a57bfc1-4846-489e-8c81-ecaac529f4fb/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a77ac7b1-010c-4642-b0bf-8863798de71f/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/43309597-326d-434b-8ded-b44492bd5319/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/93a24be2-210c-4a51-bf62-630a3598c5c7/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/841723be-5012-4e4d-9607-011167a25449/W+AIR+ZOOM+PEGASUS+41.png","Responsive cushioning in the Pegasus provides an energized ride for everyday road running. Experience lighter-weight energy return with dual Air Zoom units and a ReactX foam midsole. Plus, improved engineered mesh on the upper decreases weight and increases breathability.



Shown: White/Pure Platinum/Metallic Silver/White
Style: FD2723-102",White/Pure Platinum/Metallic Silver/White
https://www.nike.com/t/zegama-2-womens-trail-running-shoes-0RTMf0/FD5191-001,Nike Zegama 2,8,FD5191-001,$190,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/42d6ee72-d308-4b21-8f1f-3d1be1d3b269/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b0744d81-6067-4d99-8e8b-2e8f493db628/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/bb5fce25-6578-4e88-bb9d-0d5b626b7f98/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/4d538a81-d3d6-43be-a603-84ea6b219e37/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/10400a4c-6444-47ff-8ed6-996bae680fdb/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/17cd699e-fc79-4604-8274-d43faea3ef69/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/3837c9ca-0988-48aa-ba97-84759c9d8f39/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/48680eca-1f7e-4c45-b6b8-bc48db80f61a/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/23cd1506-dc53-4910-91a7-814d6060cd19/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/fede945f-5d14-4112-8a07-61fac49a5c83/W+NIKE+ZOOMX+ZEGAMA+TRAIL+2.png","Up the mountain, through the woods, to the top of the trail you can go. Equipped with an ultra-responsive ZoomX foam midsole, the Zegama 2 is designed to conquer steep ridges, jagged rocks and races from trailhead to tip. Optimal cushioning complements a rugged outsole made for your trail running journey.



Shown: Black/Wolf Grey/Anthracite/White
Style: FD5191-001",Black/Wolf Grey/Anthracite/White
https://www.nike.com/t/alphafly-3-womens-road-racing-shoes-LQX5b4/FD8315-100,Nike Alphafly 3,2,FD8315-100,$285,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ad573250-ae8d-4194-b957-3865e590c00b/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0649dd73-0ac7-406e-b3bf-5cbab7874784/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/cecdcc85-309f-4bba-9c11-6cac287a3e79/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/01eff131-6bcc-4891-b0b7-63d159fd7d28/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/4922b11b-19db-4a87-a748-81fef70e9646/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/8cf4ee7d-77aa-47d7-8e3e-a80f74c04619/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1da05301-0316-422d-9363-0c39df4326f9/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/7c50cf2b-cff4-471b-a9bb-ac7437b100f0/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/2d9ca62e-b69b-470d-8cf5-238afce788c3/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ac1590c4-dd5b-4749-9503-e2add3ad1b24/W+AIR+ZOOM+ALPHAFLY+NEXT%25+3.png","Fine-tuned for marathon speed, the Alphafly 3 helps push you beyond what you thought possible. Three innovative technologies power your run: A double dose of Air Zoom units helps launch you into your next step; a full-length carbon fiber plate helps propel you forward with ease; and a heel-to-toe ZoomX foam midsole helps keep you fresh from start to 26.2. Time to leave your old personal records in the dust.



Shown: White/Purple Agate/Vivid Grape/Black
Style: FD8315-100",White/Purple Agate/Vivid Grape/Black
https://www.nike.com/t/pegasus-41-womens-road-running-shoes-tSbZGh/FD2723-001,Nike Pegasus 41,6,FD2723-001,$145,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/4c211688-6234-426c-b847-e1b6e7d14b06/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/93b0970d-2ee3-4a5a-82b1-b295212365b7/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6ccd76ab-1d1f-4c6b-a650-eab319e45a63/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/7e561a07-8832-4255-a24a-9809ea8d9624/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/59e88566-423d-4410-bed7-4f99de47d2f9/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/c6fae52a-3ae5-4781-acaa-9dd35a9753d6/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/349b7b94-a56a-4a01-a52b-bbfb9138560d/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/d2b7956e-090e-484b-bf75-af897bd5a2cb/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b80e025e-4773-40de-81d4-74b2f38a7026/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/2d02a95c-cecf-4640-a03a-f71552fa3df5/W+AIR+ZOOM+PEGASUS+41.png
https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/c723eb95-d9f8-4bbf-a138-49d99b6824ab/W+AIR+ZOOM+PEGASUS+41.png","Responsive cushioning in the Pegasus provides an energized ride for everyday road running. Experience lighter-weight energy return with dual Air Zoom units and a ReactX foam midsole. Plus, improved engineered mesh on the upper decreases weight and increases breathability.



Shown: Black/Anthracite/Black
Style: FD2723-001",Black/Anthracite/Black
