product_url,product_name,product_name2,product_model,product_SKU,product_img,description,technical_data,accessories
https://www.delco.co.il/p/565-%D7%9E%D7%A7%D7%93%D7%97%D7%AA-%D7%90%D7%9C%D7%95%D7%9E%D7%99%D7%A0%D7%99%D7%95%D7%9D-%D7%9E%D7%94%D7%99%D7%A8%D7%94-230w,מקדחת אלומיניום מהירה 230W,,AS06C,,https://www.delco.co.il/media/Objects/Products/AF119DB2CB10418183249623583E4AB8.jpg,"
						
	מקדחה קטנה ומהירה במיוחד המתאימה לקידוח באלומיניום
	מנוע 230W המפיק מהירות סיבוב של 4,500 סל""ד
	דו כיוונית אלקטרונית
	פוטר ידני מתכתי - 6.5 מ""מ

 					","
                       
	הספק 230W
	מהירות 4500 סל""ד
	פוטר ידני 6.5 מ""מ
	משקל 0.7 ק

					",
https://www.delco.co.il/p/571-%D7%9E%D7%91%D7%A8%D7%92%D7%94-%D7%9E%D7%A7%D7%93%D7%97%D7%94-2-%D7%9E%D7%94%D7%99%D7%A8%D7%95%D7%99%D7%95%D7%AA-%D7%9C%D7%99%D7%AA%D7%99%D7%95%D7%9D-12v,מברגה / מקדחה 2 מהירויות ליתיום 12V,,ALB 12 DB,,https://www.delco.co.il/media/Objects/Products/13429AB9C8C74F85A7826ADCF9308EA5.jpg,"
						
	מברגה / מקדחה קומפקטית עם סוללות ליתיום
	גיר בעל 2 מהירויות עבודה ומומנט גבוה
	פוטר 10 מ""מ אוטומטי לעבודות הברגה וקידוח
	18 דרגות קלאץ' ומצב קידוח
	מנוע מקורר בעל אורך חיים גבוה
	הדק הפעלה אלקטרוני
	דו כיווני
	ידית אחיזה בציפוי גומי לאחיזה נוחה
	מד סוללה מובנה במברגה
	נורת LED

 					","
                       
	מתח עבודה 12V
	מהירות סיבוב, הילוך ראשון / שני 0-400/0-1350 סל""ד
	כושר קידוח בעץ 21 מ""מ
	כושר קידוח במתכת 10 מ""מ
	מומנט סיבוב מקסימלי 24 ניוטון מטר
	פוטר אוטומטי 10 מ""מ
	מטען מהיר 30 דקות
	סוללות ליתיום 2 סוללות 1.4 אמפר
	משקל 1 ק""ג

					",
https://www.delco.co.il/p/572-%D7%9E%D7%91%D7%A8%D7%92%D7%AA-%D7%90%D7%99%D7%9E%D7%A4%D7%A7%D7%98-%D7%9C%D7%99%D7%AA%D7%99%D7%95%D7%9D-12v,מברגת אימפקט ליתיום 12V,,ALB 12 DF,,https://www.delco.co.il/media/Objects/Products/BFD46F4671BF47AF80C8748E4294678E.jpg,"
						
	מברגת אימפקט קומפקטית עם סוללות ליתיום
	מהירות סיבוב של 2,300-0 סל""ד ומומנט של 90 ניוטון מטר
	מנוע מקורר בעל אורך חיים גבוה
	גיר מתכתי מקצועי ועמיד במיוחד
	הדק הפעלה אלקטרוני
	דו כיווני
	ידית אחיזה בציפוי גומי לאחיזה נוחה
	מד סוללה מובנה במברגה
	נורת LED

 					","
                       
	מתח עבודה 12V
	מהירות סיבוב 0-2,300 סל""ד
	מומנט סיבוב מקסימלי 90 ניוטון מטר
	רטיטות אימפקט 0-3000 פל""ד
	כניסת ביט ""1/4
	מטען מהיר 30 דקות
	סוללות ליתיום 2 סוללות 1.4 אמפר
	משקל 1 ק""ג

					",
https://www.delco.co.il/p/573-%D7%A1%D7%98-%D7%9E%D7%91%D7%A8%D7%92%D7%95%D7%AA-12v-%D7%9C%D7%99%D7%AA%D7%99%D7%95%D7%9D,סט מברגות 12V ליתיום,,ALB 12 DF + ALB 12 DB,,https://www.delco.co.il/media/Objects/Products/574888E3312344D9AE65588A8F5339F4.jpg,"
						הסט כולל:

	מברגת אימפקט קומפקטית דגם - ALB 12 DF
	מברגה / מקדחה 2 מהירויות קומפקטית דגם - ALB 12 DB
	2 סוללות ליתיום 1.4 אמפר!
	מטען מהיר
	תיק נשיאה

 					","
                       ALB 12 DB


	מתח עבודה 12V
	מהירות סיבוב, הילוך ראשון / שני 0-400/0-1350 סל""ד
	כושר קידוח בעץ 21 מ""מ
	כושר קידוח במתכת 10 מ""מ
	מומנט סיבוב מקסימלי 24 ניוטון מטר
	פוטר אוטומטי 10 מ""מ
	מטען מהיר 30 דקות
	2 סוללות ליתיום 1.4 אמפר
	משקל 1 ק""ג
	ALB 12 DF
	 
	מתח עבודה 12V
	מהירות סיבוב 0-2,300 סל""ד
	מומנט סיבוב מקסימלי 90 ניוטון מטר
	רטיטות אימפקט 0-3000 פל""ד
	כניסת ביט ""1/4
	מטען מהיר 30 דקות
	2 סוללות ליתיום  1.4 אמפר
	משקל 1 ק""ג

					",
https://www.delco.co.il/p/574-%D7%9E%D7%91%D7%A8%D7%92%D7%94-%D7%9E%D7%A7%D7%93%D7%97%D7%94-2-%D7%9E%D7%94%D7%99%D7%A8%D7%95%D7%99%D7%95%D7%AA-%D7%9C%D7%99%D7%AA%D7%99%D7%95%D7%9D-14-4v,מברגה / מקדחה 2 מהירויות ליתיום 14.4V,,ALB 14 DB,,https://www.delco.co.il/media/Objects/Products/F8666DE235E14CE5AC5B869197DDF2DC.jpg,"
						
	מברגה / מקדחה קומפקטית עם סוללות ליתיום
	גיר בעל 2 מהירויות עבודה ומומנט גבוה של 36 ניוטון מטר
	פוטר 10 מ""מ אוטומטי לעבודות הברגה וקידוח
	18 דרגות קלאץ' ומצב קידוח
	מנוע מקורר בעל אורך חיים גבוה
	הדק הפעלה אלקטרוני
	דו כיווני
	ידית אחיזה בציפוי גומי לאחיזה נוחה
	מד סוללה
	נורת LED

 					","
                       
	מתח עבודה 14.4V
	מהירות סיבוב, הילוך ראשון / שני 0-350/0-1200 סל""ד
	כושר קידוח בעץ 25 מ""מ
	כושר קידוח במתכת 10 מ""מ
	מומנט סיבוב מקסימלי 36 ניוטון מטר
	פוטר אוטומטי 10 מ""מ
	מטען מהיר 30 דקות
	סוללות ליתיום 2 סוללות 1.4 אמפר
	משקל 1.2 ק""ג

					",
https://www.delco.co.il/p/575-%D7%9E%D7%91%D7%A8%D7%92%D7%AA-%D7%90%D7%99%D7%9E%D7%A4%D7%A7%D7%98-14-4v,מברגת אימפקט 14.4V,,ALB 14 DF,,https://www.delco.co.il/media/Objects/Products/1B06DB61B5954CF4B7B4595DDFCF8A1A.jpg,"
						
	מברגת אימפקט קומפקטית עם סוללות ליתיום
	מהירות סיבוב של 2,600-0 סל""ד ומומנט של 140 ניוטון מטר
	מנוע מקורר בעל אורך חיים גבוה
	גיר מתכתי מקצועי ועמיד במיוחד
	הדק הפעלה אלקטרוני
	דו כיווני
	ידית אחיזה בציפוי גומי לאחיזה נוחה
	נורת LED
	מד סוללה

 					","
                       
	מתח עבודה 14.4V
	מהירות סיבוב 0-2,600 סל""ד
	מומנט סיבוב מקסימלי 140 ניוטון מטר
	רטיטות אימפקט 0-3200 פל""ד
	כניסת ביט ""1/4
	מטען מהיר 30 דקות
	סוללות ליתיום 2 סוללות 1.4 אמפר
	משקל 1.2 ק""ג 

					",
https://www.delco.co.il/p/13476-%D7%A2%D7%9E%D7%95%D7%93-%D7%AA%D7%90%D7%95%D7%A8%D7%94-%D7%A0%D7%98%D7%A2%D7%9F-6000-%D7%9C%D7%95%D7%9E%D7%99%D7%A0%D7%A1,עמוד תאורה נטען - 6000 לומינס,"6,000 לומינס",M18 HOSALC,,"https://www.delco.co.il/media/Objects/Products/C1778A91102B4077B26E774E92195663.jpg
https://www.delco.co.il/media/Objects/Products/9624458F923C401093AF263BCBEEC349.jpg
https://www.delco.co.il/media/Objects/Products/F6D94FCC908F4231A8343138F605CAC7.jpg","
						
	עמוד תאורה נטען עם עוצמת תאורה של 6,000 לומינס בטכנולוגייתTRUEVIEW™ הבלעדית למילווקי.
	פתיחה והקמה מהירה תוך 5 שניות. נפתח לגובה עד 2.1 מטר.
	מוגן מפני מכות ורגליים מחוזקות.
	עובד על סוללות מסדרת M18™ וגם עם חיבור ישיר לחשמל.
	מגן חזק במיוחד אשר שומר על ראש הפנס ועל העדשה בזמן הנשיאה והאחסון.
	IP54 – מוגן מפני אבק והשפרצות מים.
	מטען M18™ מובנה – מטעין את הסוללות בזמן שהפנס מחובר לחשמל.
	חיבור USB
	3 פנסים – עצמאיים וניתנים לשליטה כל אחד לחוד.
	קל לקיפול – ומתקפל לגודל קומפקטי עם משקל מאוזן.

 					","
                       
	מתח עבודה - 18V
	עוצמת תאורה - 6000 לומינס

					",
https://www.delco.co.il/p/570-%D7%A1%D7%98-%D7%9E%D7%91%D7%A8%D7%92%D7%95%D7%AA-12v,סט מברגות 12V,,AM 12 DM / AR 832,,https://www.delco.co.il/media/Objects/Products/5B442E12A1184AF39C393FC8E8814929.jpg,"
						הסט כולל:

	מברגת אימפקט דגם - AR 832
	מברגה / מקדחה דגם- AM 12 DM
	2 סוללות 2 אמפר
	מטען מהיר
	תיק נשיאה

 					","
                       AR 832


	מתח עבודה 12V
	מהירות סיבוב 0-2,300 סל""ד
	מומנט סיבוב מקסימלי 110 ניוטון מטר
	רטיטות אימפקט 0-2800 פל""ד
	כניסת ביט ""1/4
	מטען מהיר 60 דקות
	2 סוללות 2 אמפר
	משקל 1.5 ק""ג
	 
	AM 12 DM
	 
	מתח עבודה 12V
	מהירות סיבוב 600-0 סל""ד
	כושר קידוח בעץ 15 מ""מ
	כושר קידוח במתכת 10 מ""מ
	מומנט סיבוב מקסימלי 12 ניוטון מטר
	פוטר אוטומטי 10 מ""מ
	מטען מהיר 60 דקות
	2 סוללות 1.5 אמפר
	משקל 1.5 ק""ג

					",
https://www.delco.co.il/p/569-%D7%9E%D7%91%D7%A8%D7%92%D7%AA-%D7%90%D7%99%D7%9E%D7%A4%D7%A7%D7%98-%D7%A0%D7%99%D7%A7%D7%9C-%D7%A7%D7%93%D7%99%D7%95%D7%9D-12v,מברגת אימפקט - ניקל קדיום 12V,,AR 832,,https://www.delco.co.il/media/Objects/Products/591D288C35384A669FADDC8A2701F100.jpg,"
						
	מברגת אימפקט איכותית עם מומנט של 110 ניוטון מטר
	מהירות סיבוב של 2,300-0 סל""ד
	מנוע מקורר בעל אורך חיים גבוה
	גיר מתכתי מקצועי ועמיד במיוחד
	הדק הפעלה אלקטרוני
	דו כיווני
	ידית אחיזה בציפוי גומי לאחיזה נוחה

 					","
                       
	מתח עבודה 12V
	מהירות סיבוב 0-2,300 סל""ד
	מומנט סיבוב מקסימלי 110 ניוטון מטר
	רטיטות אימפקט 0-2800 פל""ד
	כניסת ביט ""1/4
	מטען מהיר 60 דקות
	סוללות 2 סוללות 2 אמפר
	משקל 1.5 ק""ג

					",
https://www.delco.co.il/p/230-%D7%A8%D7%93%D7%99%D7%95-%D7%97%D7%99%D7%91%D7%95%D7%A8-mp3-%D7%A0%D7%99%D7%99%D7%93-%D7%9C%D7%A9%D7%98%D7%97,רדיו + חיבור MP3 נייד לשטח,כולל 1 סוללה 2 אמפר,C 12 JSR-0,4933416365-2,"https://www.delco.co.il/media/Objects/Products/9BF2D3CCAB4243429090D94133AF14CF.jpg
https://www.delco.co.il/media/Objects/Products/C19417D582A044449562CFC53BBC2BB6.jpg
https://www.delco.co.il/media/Objects/Products/51E95282DF374484A6C67B3ED96AAE22.jpg","
						
	פועל על ידי סדרת סוללות ליתיום 12V MILWAUKEE .
	עד 8 שעות מוסיקה בסוללת 12V אחת.
	ניתן לחיבור ישיר לחשמל
	רדיו FM/AM עם מעבד וצג דיגיטלי לקליטת רדיו מיטבית בשטח.
	תא מוגן לאחסון נגני MP3
	רמקולים עמידים המפיקים צליל עשיר מלא ונקי, גם בעוצמות גבוהות.

 					","
                       
	סוללה במתח - 12V
	מתח עבודה 220-240V
	גודל 30 ס""מ
	משקל 1.8 ק""ג

					","
                       
	שנאי 220-240V
	מחבר ל MP3
	כולל  1 סוללה של 2 אמפר
	מטען מהיר

					"
