product_url,product_name,product_name2,product_SKU,product_img,description,technical_data,accessories
https://www.delco.co.il/p/4915-%D7%9E%D7%9C%D7%98%D7%A9%D7%AA-%D7%A7%D7%99%D7%A8%D7%95%D7%AA-%D7%92%D7%91%D7%A1-%D7%92'%D7%99%D7%A8%D7%A3-500w,מלטשת קירות גבס ג'ירף 500W,,,"https://www.delco.co.il/media/Objects/Products/D47AEB11B91E45D19F56FD562ADF750A.jpg
https://www.delco.co.il/media/Objects/Products/80C20A1FAC27476AAF1928C2E8877311.jpg
https://www.delco.co.il/media/Objects/Products/43C8CCD6A1F840BE93AEF9F78BF9704B.jpg","
						
	מלטשת קירות גבס הטובה מסוגה זוכת פרס מוצר השנה 2014 –Made in Germany  !
	מנוע עוצמתי של W500 ופד ליטוש בקוטר 225 מ""מ מאפשרים ליטוש מהיר במיוחד !
	עיצוב ארגונומי במיוחד המשלב משקל נמוך וצורות אחיזה רבות לעבודה נוחה, מיקום מנוע ייחודי ומוט חיבור חזק וקל מאלומיניום מאפשר איזון מושלם של המלטשת בכל זמן.
	אלקטרוניקה מתקדמת הכוללת – ויסות מהירות ליטוש אלקטרונית, מערכת לשמירה על כוח מנוע תחת עומס, הגנת עומס ייתר והגנת מפני התחממות.
	מעבר כוח בין המנוע לראש הליטוש בעזרת גיר יחודי – Flexible Shaft Drive
	מנגנון קירור מנוע מאריך את חייו ומפחית שחיקה
	מערכות אלקטרוניקה ממוגנות מאפשרות עבודה עם אבק הכולל מפסק ממוגן
	מנגנון שאיבת אבק מתקדם מגן על פד הליטוש ומונע הצטברות אבק לליטוש אפקטיבי במיוחד דרך 10 חורים בפד הליטוש יש לחבר את המלטשת לשואב אבק.
	חיבור FLEX CLIP מהיר לשואב אבק של פלקס
	מגן עם מברשות מסביב לראש הליטוש, צינור שאיבה גמיש מראש המכשיר עד לחיבור האחורי בו מחברים את צינור שואב האבק
	פד הליטוש מותקן על ראש גמיש ייחודי המאפשר ליטוש גם במשטחים שאינם חלקים לחלוטין ובעל זווית משתנה של עד 100 מעלות
	פד הליטוש העגול בגודל 225 מ""מ תופס את הניירות בסקוץ'
	שימוש בראש המתאים לפינות מאפשר עבודה רצופה גם בתקרות חיבורי קירות ופינות.
	ראש ליטוש זה המתאים לפינות מסתובב בכוח הויברציות שיוצר המכשיר ללא צורך בכוונון
	קל משקל וקל לשימוש
	מיועד לשימוש בקירות גבס ולליטוש לפני צבע.
	ניתן לרכוש בנפרד – ידית הארכה באורך של 500 מ""מ, לליטוש תקרות. בחיבור פשוט.

 					","
                       
	הספק מנוע – 500W
	מהירות ליטוש ( בסיבוב ) – 1,100-1,650 סל""ד
	מספר מהירויות לבחירה – 6
	אורך כללי – 1,520 מ""מ
	ראש ליטוש מזווית מתכוונן – 100 מעלות
	קוטר פד הליטוש העגול – 225 מ""מ
	משקל – 3.9 ק""ג

					",
https://www.delco.co.il/p/12546-%D7%AA%D7%99%D7%A7-%D7%98%D7%9B%D7%A0%D7%90%D7%99%D7%9D-%D7%A1%D7%92%D7%95%D7%A8-packout,תיק טכנאים סגור PACKOUT,"מק""ט: 4932471130","מק""ט: 4932471130","https://www.delco.co.il/media/Objects/Products/DCAD1475B3754C78B9A590984DAA2041.jpg
https://www.delco.co.il/media/Objects/Products/D1A1954C646448D9913964562240A901.jpg","
						
	חלק מסדרת ה PACKOUT המודולרית.
	עשוי ניילון בליסטי D1680 לעמידות הטובה ביותר בכל תנאי השטח.
	58 כיסים כולל תא מיוחד למחשב נייד.
	בסיס יצוק וחזק מאפשר לתיק לעמוד ועמיד בכל תנאי מזג האוויר.

 					",,
https://www.delco.co.il/p/192-%D7%9E%D7%9C%D7%98%D7%A9%D7%AA-%D7%A1%D7%A8%D7%98-'3-1010w,"מלטשת סרט ""3 1010W",ויסות מהירות אלקטרוני,"מק""ט: 4935413205","https://www.delco.co.il/media/Objects/Products/122550B7191949059B63DCC8256E241E.jpg
https://www.delco.co.il/media/Objects/Products/0E7C06FEF20C4A81B8D1909C0DEEE5DA.jpg","
						
	בורר מהירות אלקטרוני לשליטה מרבית ולליטוש מגוון חומרים
	מנגנון להחלפה מהירה של נייר הליטוש
	בקרה מלאה לליטוש מדויק
	מבנה קומפקטי לליטוש שפה\קצוות
	שלדה יצוקה חזקה ועמידה
	שק לסילוק אבק או חיבור להתקן\שואב אבק

 					","
                       
	הספק נצרך - 1010W
	אורך הרצועה - 533 מ""מ
	רוחב הרצועה - 75 מ""מ
	מהירות ליטוש - 240-450 מטר לדקה
	משטח ליטוש - 75x145 מ""מ
	משקל - 5.1 ק""ג

					","
                       
	כבל חשמל 4 מטר
	רצועת ליטוש
	שקית לסילוק אבק
	ידית אחיזה
	ארגז נשיאה קשיח

					"
https://www.delco.co.il/p/193-%D7%9E%D7%9C%D7%98%D7%A9%D7%AA-%D7%A1%D7%A8%D7%98-'4-1100w,"מלטשת סרט ""4 1100W",ויסות מהירות אלקטרוני,"מק""ט: 4935413530",https://www.delco.co.il/media/Objects/Products/EAC4B6CD75B443658B5A2D3976353CEE.jpg,"
						
	משטח ליטוש רחב 140X100 מ""מ.
	מנגנון בקרה לכוונון מדויק של הרצועה
	בקרה אלקטרונית מלאה לליטוש מדויק
	שק לסילוק אבק או חיבור להתקן\שואב אבק

 					","
                       
	הספק נצרך - 1100W
	אורך הרצועה - 560 מ""מ
	רוחב הרצועה - 100 מ""מ
	מהירות ליטוש - 230-400 מטר לדקה
	משטח ליטוש - 100x140 מ""מ
	משקל - 5 ק""ג

					","
                       
	כבל חשמל 4 מטר,
	רצועת ליטוש
	שק לסילוק אבק

					"
https://www.delco.co.il/p/161-%D7%9E%D7%A1%D7%95%D7%A8-%D7%A9%D7%95%D7%A8%D7%A3-'2300w-14,"מסור שורף ""2300W 14",החזק ביותר בקטגוריה!!,"מק""ט: 4935411770","https://www.delco.co.il/media/Objects/Products/F84593A34D684B09ADB4E4979A1321B8.jpg
https://www.delco.co.il/media/Objects/Products/BB6E23644DA74B5085AF3C1435E583CE.jpg
https://www.delco.co.il/media/Objects/Products/469C96B170AF4CF09BCF2168E82BA705.jpg
https://www.delco.co.il/media/Objects/Products/131F2963113E45D9837D912A47681F9F.jpg
https://www.delco.co.il/media/Objects/Products/CBF9A428599A43EFB99715D03995FB3F.jpg
https://www.delco.co.il/media/Objects/Products/C063AC24CDDA4BB2962573304D524C34.jpg","
						
	מסור שורף החזק ביותר בקטגוריה בעוצמה אדירה של  2300W. 
	מנגנון הסטה להגנה מניצוצות ושבבים
	נעילת ציר נוחה - להחלפה מהירה של מסור החיתוך
	אפשרות כוונון לחיתוך ב- 45/0/45 מעלות עם מנגנון שחרור מהיר.
	מגן בטיחותי רחב להגנה נוספת
	רגליות גומי ליציבות מרבית
	גישה נוחה להחלפת הפחמים

 					","
                       
	הספק  2300W
	סל""ד מרבי ללא עומס - 3800
	קוטר המסור - 355 מ""מ ""14
	קוטר קדח המסור - 25.4 מ""מ
	משקל - 16.5 ק""ג

					","
                       
	כבל חשמל 4 מטר
	מסור 355 מ""מ
	מפתח ברגים

					"
https://www.delco.co.il/p/329-%D7%9E%D7%A1%D7%95%D7%A8-%D7%A9%D7%95%D7%A8%D7%A3-'-2300w-14,"מסור שורף "" 2300W 14",CHS 355,"מק""ט: 4933411760","https://www.delco.co.il/media/Objects/Products/E3AA81F31DF8415189784DE1E0B71F49.jpg
https://www.delco.co.il/media/Objects/Products/FCC4340590FE43F6B6C57C6567E93A1E.jpg
https://www.delco.co.il/media/Objects/Products/405E4BB1C20B4ECFA766C3506CD02E64.jpg
https://www.delco.co.il/media/Objects/Products/0689B7E4EC324DB381CA0361D749260D.jpg","
						
	מסור שורף HEAVY DUTY 2300W החזק ביותר בקטגוריה, מהירות חיתוך של 3,800 סל""ד.
	מנגנון קירור אפקטיבי המאריך את חיי המנוע.
	מנגנון הסתה להגנה מגיצים ושבבים.
	אפשרות כוונון לחיתוך ב 45 מעלות לימין ולשמאל עם מנגנון שחרור מהיר
	מגן חיתוך בטיחותי המקנה הגנה נוספת
	בסיס המסור מחוזק ובעל רגליות ליציבות מרבית
	פין נעילה שומר על המסור סגור בזמן הנשיאה.
	גישה נוחה ומהירה להחלפת הפחמים

 					","
                       
	הספק 2300W
	מהירות 3,800 סל""ד
	דיסק חיתוך "" 14 / 355 מ""מ
	יכולת חיתוך פרופיל עגול 125 / 100 מ""מ
	יכולת חיתוך פרופיל מרובע 115 / 80 מ""מ
	יכולת חיתוך פרופיל מכופף 80 L / 130 מ""מ
	משקל 18 ק""ג

					","
                       
	4 מטר כבל חשמל
	מפתח ברגים 
	מפתח אלן

					"
https://www.delco.co.il/p/131-%D7%9E%D7%A1%D7%95%D7%A8-%D7%90%D7%A0%D7%9B%D7%99-%D7%A0%D7%98%D7%A2%D7%9F-%D7%9C%D7%99%D7%AA%D7%99%D7%95%D7%9D-18v,מסור אנכי נטען ליתיום 18V,ערכת 2 סוללות 3 אמפר,"מק""ט: 4935413145","https://www.delco.co.il/media/Objects/Products/423812C2D61645739E4913DAB45DE2EB.jpg
https://www.delco.co.il/media/Objects/Products/030B931BED444A1BA24439A8B040EC9A.jpg","
						
	תיבת הילוכים מתכתית לעמידות בתנאי עבודה קשים
	מנגנון פנדל לאפשרויות חיתוך מגוונות
	שילדה מתכתית מקצועית יצוקה מאלומיניום
	מנגנון FIX-TEC להחלפת להבים מהירה
	הדק למהירות משתנה
	אחיזה ארגונומית ורכה לשימוש קל ונוח
	עצירה אלקטרונית אוטומטית
	הגנת עומס יתר
	מצוייד בסוללות החדישות מסדרת הליתיום - PRO  הסוללה היחידה בעלת ההגנה המשולשת וזמן הטענה מהיר ציפוי במרקם מיקרו - גומי חדיש לאחיזה מושלמת
	כולל מד חיים בסוללה המראה כמה הסוללה טעונה
	נורת LED עוצמתית עם אפשרות הדלקה וכיבוי נפרדת

 					","
                       
	מתח עבודה 18V
	שתי סוללות ליתיום, 3 אמפר שעה
	מטען מהיר - 30 דקות
	שיפוע - עד 45 מעלות
	מהירות - 0-2050 פעימות לדקה
	עומק ניסור מקסימלי בעץ - 80 מ""מ
	משקל - 3.5 ק""ג

					","
                       
	2 סוללות ליתיום 3 אמפר
	מטען מהיר אוניברסאלי
	מזוודת נשיאה קשיחה
	2 להבים
	מגן פלסטיק
	מכשיר מונע החלקה
	* ניתן להשיג גוף בלבד ללא סוללות ומטען
	הסרטון מציג את הדגם הקודם, הדגם החדש מגיע עם סוללות PRO ועיצוב עדכני

					"
https://www.delco.co.il/p/128-%D7%9E%D7%A9%D7%97%D7%96%D7%AA-%D7%96%D7%95%D7%99%D7%AA-%D7%A0%D7%98%D7%A2%D7%A0%D7%AA-'-4-5-%D7%9C%D7%99%D7%AA%D7%99%D7%95%D7%9D,"משחזת זוית נטענת "" 4.5 ליתיום",ערכת 2 סוללות 4 אמפר,"מק""ט: 4935443463","https://www.delco.co.il/media/Objects/Products/BA1F96E463014B3DB8A54082F3EC1836.gif
https://www.delco.co.il/media/Objects/Products/63CDBA1C3CD04D40BEA6FC800B174E03.jpg
https://www.delco.co.il/media/Objects/Products/CB993C3CD7274C04AB2B68930CC6B011.jpg
https://www.delco.co.il/media/Objects/Products/F62D31687F1F4C8780128DCCA4C5E25D.jpg
https://www.delco.co.il/media/Objects/Products/E25E3902D11D43FAAA33CC106668C7D8.jpg","
						
	משחזת נטענת בעלת סוללות ליתיום 18V עוצמתית במיוחד
	ידית AVS בולמת זעזועים
	ייחודי – מנוע 4 פחמים DC חדשני.
	הגנת עומס ייתר במשחזת ובסוללה
	נורת התראה על עומס, ניתוק אוטומטי בעומס יתר
	מפסק הפעלה בטיחותי עם אפשרות נעילה
	החלפת דיסק חיתוך בעזרת אום FIX-TEC מהיר
	מגן מתכוונן ללא צורך במפתח
	מצוייד בסוללות חדישות מסדרת הליתיום - PRO הסוללה המתקדמתמ מסוגה בעלת הגנה משולשת וזמן טעינה מהיר
	כולל מד חיי סוללה המראה כמה הסוללה טעונה

 					","
                       
	סוללה במתח - 18V
	כולל 2 סוללות ליתיום 4 אמפר שעה
	מהירות סיבוב ללא עומס - 9,000 סל”ד
	קוטר הדיסק - 115 מ”מ / “ 4.5
	משקל כולל סוללה - 2.55 ק”ג
	כולל ידית AVS!

					","
                       
	2 סוללות ליתיום 4 אמפר
	מטען מהיר אוניברסאלי
	מזוודת נשיאה קשיחה
	* ניתן להשיג גוף בלבד ללא סוללות ומטען

					"
https://www.delco.co.il/p/150-%D7%9E%D7%A9%D7%97%D7%96%D7%AA-%D7%96%D7%95%D7%95%D7%99%D7%AA-'720w-4-5,"משחזת זווית ""720W 4.5",WS 6-115,"מק""ט: 4935413250","https://www.delco.co.il/media/Objects/Products/BBAB6FDB1E2041E5A430E01E1DC27440.jpg
https://www.delco.co.il/media/Objects/Products/0E19B5D9A3ED4FB898A4891D33E36E74.jpg
https://www.delco.co.il/media/Objects/Products/E52304617106411280DFF54E72483428.jpg","
						
	משחזת זווית בעוצמה של 720W
	מעוצבת בצורה דקה,קצרה וקלה במיוחד לעבודות מאומצות ונוחות.
	מערכת קירור אוויר בצידי המשחזת ובחלקה האחורי מונעת התחממות של המנוע ומאפשרת עבודה לאורך זמן.
	מתג הפעלה עם אפשרות נעילה.
	מגן השחזה איכותי ועמיד

 					","
                       
	הספק 720W
	סל""ד מרבי ללא עומס - 10,000
	עומק חיתוך - 28 מ""מ
	קוטר דיסק 115 מ""מ / ""4.5
	תבריג ציר 14m
	משקל - 1.9 ק""ג

					","
                       
	ידית עזר
	אום נעילה
	מגן צד
	תושבת לדיסקית

					"
https://www.delco.co.il/p/178-%D7%9E%D7%9C%D7%98%D7%A9%D7%AA-%D7%A4%D7%97%D7%97%D7%99%D7%9D-%D7%95%D7%A9%D7%99%D7%A9-'1200w-7,"מלטשת פחחים ושיש ""1200W 7",יעודי לעבודות פחחים ושיש,"מק""ט: 4935412279","https://www.delco.co.il/media/Objects/Products/467E7DD2BBA14078B1D0CFEF058F981E.jpg
https://www.delco.co.il/media/Objects/Products/5412CD41555A47D29597817C4439608C.jpg","
						
	מלטשת השיש הטובה בעולם - ייעודית לאנשי שיש ופחחים בענף הרכב. 
	עמידה במיוחד ביותר גם בעבודות מאומצות לאורך זמן
	בורר מהירות אלקטרוני לעבודה על חומרים שונים
	תיבת גיר מסיבית המאפשרת מהירות סיבוב אופטימלית
	גישה נוחה להחלפה מהירה של הפחמים
	מתג הפעלה ארגונומי לתפעול נוח עם אפשרות נעילה

 					","
                       
	הספק נצרך 1200W
	סל""ד מרבי ללא עומס 1800-4800
	קוטר דיסק - 180 מ""מ ""7
	תבריג ציר 14m
	משקל - 2.5 ק""ג

					","
                       
	כבל חשמל 4 מטר
	ידית עזר עם מגן
	אום נעילה
	כרית גמישה

					"
