url,title,product_desc,image,Boiling Point,CAS,Chemical Name or Material,Color,Molecular Formula,Packaging,Synonym,Grade,Molecular Weight (g/mol),Percent Purity,Quantity,Unit Size,IUPAC Name,InChI Key,SMILES,Appearance (Color),Appearance (Form),Infrared spectrum,Melting point,Titration with NaOH,Form,Assay (Aqueous acid-base Titration),Identification (FTIR),Refractive Index,Assay from Supplier's CofA,Comment,Melting Point,Assay (Silylated GC),Residue after ignition,Chloride (Cl),HPLC,Heavy metals (as Pb),Impurity content,Trace Metal,Melting Point (clear melt),Optical Rotation,Assay (GC),Free base (titration),Carboniz. sub. by hot H2SO4,Beilstein,ChEBI,Water Content (Karl Fischer Titration),Titration Argentometric,Loss on drying,Water,UV,Color scale,Heavy metals (ICP-OES),Titration with KMnO4,Substance darkened by H2SO4,Total Metal Impurities,Chloride content,Iron (Fe),Titration with CHA,Specific optical rotation,Arsenic (As),Sulfate (SO4),Refractive index,Residue after evaporation,K2Cr2O7-reducing substance,Cadmium (Cd),Identification A,Identification B,Residue on ignition,Assay (unspecified),"Dnase,Rnase,Protease activity",Oxalate (C2O4),Acid value,Density,GC,Phosphate (PO4),Sodium (Na),"Sugars, dextrin",Zinc (Zn),Sulfuric acid,Titration with HClO4,Acidity/alkalinity,Name Note,Physical Form,Recommended Storage,KMnO4-reducing substance,Optical Absorbance at,Insoluble matter,Acid-base back titration,Dilution test,Sulfite (SO3),Enantiomeric excess,Titration excess NaOH,Reducing sugars,Assay,Titration with HCl,Aluminium (Al),Heavy Metals (as Pb),Sulfated ash,Assay (Titration),Concentration,EINECS Number,Potassium (K),Calcium (Ca),Magnesium (Mg),Assay from Suppliers CofA,Clarity of solution,Strength,Ash,pH,Sugars,Acids,Impurity,Moisture holding capacity,Trace Metals,Sulfur compounds (as SO4),DOT Information,Assay (Non-aqueous acid-base Titration),Assay (Argentometric Titration),Clarity,Residual water,Ammonium (NH4),Proton NMR,Loss on Drying,Assay (HPLC),Transition Temperature,Elemental Analysis,Fumaric and maleic acid,Identification,Fluoride (F),lambda-max (UV-Vis),Insoluble material
https://www.thermofisher.com/order/catalog/product/0200-07?SID=srch-srp-0200-07,"Lactic acid, 88.0-92.0%, Multi-Compendial, GMP, J.T.Baker™","This product is GMP Manufactured and meets J.P., U.S.P, and E.P specifications.",https://www.thermofisher.com/TFS-Assets/LSG/product-images/0200%20image.jpg-650.jpg,122°C,50-21-5,Lactic acid,Colorless,H,Poly Pail (Jerrican),"2-Hydroxypropionic acid, 2-Hydroxypropanoic acid, DL-Lactic acid",Multi-Compendial,90.08,88 to 92%,19 L,Each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/263195000?SID=srch-srp-263195000,"Butyric acid sodium salt, 98%",This Thermo Scientific Chemicals brand product was originally part of the Acros Organics product portfolio. Some documentation and label information may refer to the legacy brand. The original Acros Organics product / item code or SKU reference has not changed as a part of the brand transition to Thermo Scientific Chemicals.,https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-156-54-7.jpg-650.jpg,122°C,156-54-7,Lactic acid,Colorless,C4H7NaO2,Poly Pail (Jerrican),"2-Hydroxypropionic acid, 2-Hydroxypropanoic acid, DL-Lactic acid",Multi-Compendial,90.08,88 to 92%,19 L,Each,sodium butanoate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,[Na+].CCCC([O-])=O,White,Powder,Conforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5 to 102.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/102815000?SID=srch-srp-102815000,"Adipic acid, 99%",This Thermo Scientific Chemicals brand product was originally part of the Acros Organics product portfolio. Some documentation and label information may refer to the legacy brand. The original Acros Organics product / item code or SKU reference has not changed as a part of the brand transition to Thermo Scientific Chemicals.,https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-124-04-9.jpg-650.jpg,,514-10-3,,,C20H30O2,,,,,,,,"(1R,4aR,4bR,10aR)-1,4a-dimethyl-7-(propan-2-yl)-1,2,3,4,4a,4b,5,6,10,10a-decahydrophenanthrene-1-carboxylic acid",RSWGJHLUYNHPMX-ONCXSQPRSA-N,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(O)=O)[C@H]2CC1,Off-white to pale yellow,Crystalline powder,Conforms,151°C to 153°C,>=99 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 90.0%,powder,,,,,,
https://www.thermofisher.com/order/catalog/product/042582.MD?SID=srch-srp-042582.MD,"Abietic acid, 90+%","Abietic acid is used to make ester gums in lacquers, varnishes and soaps. It is also used in metal resonates and plastics. Further, it is utilized in musical instruments to make them less slippery. It acts as a precursor to natural product synthesis. In addition to this, it is used to depackage integrated circuits from their epoxy coatings. ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-514-10-3.jpg-650.jpg,,514-10-3,,,C20H30O2,,,,,,,,"(1R,4aR,4bR,10aR)-1,4a-dimethyl-7-(propan-2-yl)-1,2,3,4,4a,4b,5,6,10,10a-decahydrophenanthrene-1-carboxylic acid",RSWGJHLUYNHPMX-ONCXSQPRSA-N,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(O)=O)[C@H]2CC1,Off-white to pale yellow,Crystalline powder,Conforms,151°C to 153°C,>=99 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 90.0%,powder,,,,,,
https://www.thermofisher.com/order/catalog/product/041748.36?SID=srch-srp-041748.36,"Humic acid sodium salt, tech. 50-60% (as humic acid)",Humic acid sodium salt is a principal component of humic substances. It boosts plant growth. ,https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-68131-04-4.jpg-650.jpg,,68131-04-4,,,C9H8Na2O4,,,,,,,,"disodium bicyclo[2.2.1]hept-5-ene-2,3-dicarboxylate",HMGUIQPKFUZDPV-UHFFFAOYNA-L,[Na+].[Na+].[O-]C(=O)C1C2CC(C=C2)C1C([O-])=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 to 70% ( as Humic acid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-10,,,,,,,,,,,,,,15% max,,,,,,,,
https://www.thermofisher.com/order/catalog/product/A13668.36?SID=srch-srp-A13668.36,"L-(+)-Tartaric acid, 99%","L-(+)-Tartaric acid is widely utilized in pharmaceutical industries. It is used in soft drinks, confectionaries, food products, gelatin desserts and as a buffering agent. It forms a compound, TiCl",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-87-69-4.jpg-650.jpg,,87-69-4,,,C4H6O6,,,,,,,,"2,3-dihydroxybutanedioic acid",FEWJPZIEWOKRBE-UHFFFAOYNA-N,OC(C(O)C(O)=O)C(O)=O,,,,,,Crystals or crystalline powder or powder,,Conforms,,≥98.5% (U.S. sourced material),Material Sourced in the U.S. and in other countries,164-172°C (non-U.S. sourced material),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/424445000?SID=srch-srp-424445000,"L(+)-Tartaric acid, disodium salt, dihydrate, 99+%, ACS reagent",This Thermo Scientific Chemicals brand product was originally part of the Acros Organics product portfolio. Some documentation and label information may refer to the legacy brand. The original Acros Organics product / item code or SKU reference has not changed as a part of the brand transition to Thermo Scientific Chemicals.,https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-6106-24-7.jpg-650.jpg,,6106-24-7,,,C4H8Na2O8,,,,,,,,"disodium (2R,3R)-2,3-dihydroxybutanedioate dihydrate",FGJLAJMGHXGFDE-UDMGOBQRNA-L,O.O.[Na+].[Na+].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O,White,,Conforms,,,,,,,,,,,,,,=<5 ppm,,,,,,,,,,,,,,,,,,,,,=<10 ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=<30 ppm,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/A14788.30?SID=srch-srp-A14788.30,"Decanoic acid, 99%","Decanoic acid is used in perfumes, resins, lubricants, greases, dyes, plastics, pharmaceuticals and food additives. It is involved in the preparation of wetting agents and sodium deconate, which is an active component in soap. It is also used as a plasticizer and as an absorption enhancer in guinea pig skin experiments. Further, it is employed in the generation of esters for artificial fruit flavors. In addition to this, it is used in agricultural chemicals, lubricant additives and surface active agents. ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-334-48-5.jpg-650.jpg,,76-05-1,,,C2HF3O2,,,,,,,,trifluoroacetic acid,DTQVDTLACAAQTR-UHFFFAOYSA-N,OC(=O)C(F)(F)F,Clear colorless to pale yellow or pale pink,,Conforms,,,Fuming liquid,≥98.5 to ≤101.5% (non-U.S. sourced material),Conforms (non-U.S. sourced material),,,Material sourced in the U.S. and in other countries,,≥98.5%,,,,=<5 ppm,,,,,,,,,,,,,,,,,,,,,=<10 ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=<30 ppm,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/A13692.30?SID=srch-srp-A13692.30,"1,3-Dimethylbarbituric acid, 99% (dry wt.), water <6%","1,3-Dimethylbarbituric acid is used as a catalyst in the Knoevenagel condensation of a series of aromatic aldehydes. It is also used in the synthesis of 5-aryl-6-(alkyl- or aryl-amino)-1,3-dimethylfuro [2,3-d]pyrimidine derivatives and enantioselective synthesis of isochromene pyrimidinedione derivatives. ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-769-42-6.jpg-650.jpg,,76-05-1,,,C2HF3O2,,,,,,,,trifluoroacetic acid,DTQVDTLACAAQTR-UHFFFAOYSA-N,OC(=O)C(F)(F)F,Clear colorless to pale yellow or pale pink,,Conforms,,,Fuming liquid,≥98.5 to ≤101.5% (non-U.S. sourced material),Conforms (non-U.S. sourced material),,,Material sourced in the U.S. and in other countries,,≥98.5%,,,,=<5 ppm,,,,,,,,,,,,,,,,,,,,,=<10 ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=<30 ppm,,,,,,,,,,
https://www.thermofisher.com/order/catalog/product/L06374.AP?SID=srch-srp-L06374.AP,"Trifluoroacetic acid, 99%","The combination of properties like solubility in most of the solvents, volatility, catalytic property, and strong acidity with non-oxidizing nature makes it a widely used reagent in organic synthesis.  Trifluoroacetic acid is an important building block in the synthesis of pharmaceuticals, agrochemicals and performance products.  It is a precursor to many fluorinated compounds, and widely used in peptide synthesis  and other organic transformations involving deprotection of t-BOC group.  TFA finds use as an ion pairing agent in liquid chromatography, as a solvent in NMR spectroscopy and as a calibrant in mass spectrometry. ",https://www.thermofisher.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-76-05-1.jpg-650.jpg,,76-05-1,,,C2HF3O2,,,,,,,,trifluoroacetic acid,DTQVDTLACAAQTR-UHFFFAOYSA-N,OC(=O)C(F)(F)F,Clear colorless to pale yellow or pale pink,,Conforms,,,Fuming liquid,≥98.5 to ≤101.5% (non-U.S. sourced material),Conforms (non-U.S. sourced material),,,Material sourced in the U.S. and in other countries,,≥98.5%,,,,=<5 ppm,,,,,,,,,,,,,,,,,,,,,=<10 ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=<30 ppm,,,,,,,,,,
