category_url,category_name,category_url2,category_name2,category_url3,category_name3,product_url,product_name,product_SKU,product_price,materials,delivery_cost,Assembly_cost,delivery_and_assembly,colors,Assembly_instructions,product_img,product_img_names,description,descriptionHTML,related_skus
https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/,ארונות,https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/%d7%90%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c/,ארונית למיקרוגל,,,https://yiron.co.il/product/%d7%90%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c-5-%d7%93%d7%9c%d7%aa%d7%95%d7%aa/,ארון מיקרוגל – עינב,408,"1,199.00",סיבית מצופה מלמין,160₪,₪200.00,,,https://yiron.co.il/wp-content/uploads/2018/07/408-הוראות-הרכבה.pdf,"https://yiron.co.il/wp-content/uploads/2018/07/408_White-03_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2018/07/408_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2018/07/408_White-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2018/07/408_White-03_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2018/07/408_White-04_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2018/07/408_White-01_1081x800_G.jpg","408_White-03_1081x800_G.jpg
408_1081x800_G.jpg
408_White-02_1081x800_G.jpg
408_White-03_1081x800_G.jpg
408_White-04_1081x800_G.jpg
408_White-01_1081x800_G.jpg","
ארונית מיקרוגל חדשה ומהודרת, עם מקום רב לאחסון 5 דלתות ומגירה נשלפת.
מידות:
ג: 188 ס”מ
ע: 41 ס”מ
ר: 119 ס”מ
מידות פתח המיקרוגל:
ג: 39.5 ס”מ
ר: 76 ס”מ

מידות הארון הן חיצוניות בלבד
","<div><div>
<p><span>ארונית מיקרוגל חדשה ומהודרת, עם מקום רב לאחסון 5 דלתות ומגירה נשלפת.</span></p>
<div><span>מידות:</span><br>
<span>ג: 188 ס”מ</span><br>
<span>ע: 41 ס”מ</span><br>
<span>ר: 119 ס”מ</span></div>
<div><strong>מידות פתח המיקרוגל:</strong></div>
<div>ג: 39.5 ס”מ</div>
<div>ר: 76 ס”מ</div>
</div>
<p><strong>מידות הארון הן חיצוניות בלבד</strong></p>
</div>","707
702M
126"
https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/,ארונות,https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/%d7%90%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c/,ארונית למיקרוגל,,,https://yiron.co.il/product/%d7%90%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%9e%d7%98%d7%91%d7%97-%d7%a0%d7%99%d7%99%d7%93%d7%aa/,ארונית מטבח ניידת,501a,916.00,סיבית מצופה מלמין,150₪,₪150.00,,,,"https://yiron.co.il/wp-content/uploads/2018/10/501-White_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2018/10/501-White_1081x800_G.jpg","501-White_1081x800_G.jpg
501-White_1081x800_G.jpg","ארונית מטבח ניידת שימושית לסביבת המטבח עם גלגלים נסתרים לשינוע וניוד.
ארונית אחסון תחתונה הכוללת:2 דלתות פתיחה, מגירה נשלפת ומדף פנימי לאחסון.ארונית אחסון עליונה הכוללת:2 דלתות (עומק הארונית העליונה 38 ס”מ)
מידות:
עומק: 50 ס”מ ,
רוחב: 60 ס”מ ,
גובה: 203 ס”מ
","<div><p><span>ארונית מטבח ניידת שימושית לסביבת המטבח עם <span>גלגלים נסתרים לשינוע וניוד.</span></span></p>
<p><span><span>ארונית אחסון תחתונה הכוללת:<br></span>2 דלתות פתיחה, מגירה נשלפת ומדף פנימי לאחסון.</span><br><span>ארונית אחסון עליונה הכוללת:</span><br><span>2 דלתות (עומק הארונית העליונה 38 ס”מ)</span></p>
<p><span>מידות:</span><br>
<span>עומק: 50 ס”מ ,</span><br>
<span>רוחב: 60 ס”מ ,</span><br>
<span>גובה: 203 ס”מ</span></p>
</div>","125
702
407"
https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/,שידות,https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/%d7%a9%d7%99%d7%93%d7%95%d7%aa-%d7%90%d7%97%d7%a1%d7%95%d7%9f/,שידות אחסון,,,https://yiron.co.il/product/%d7%a9%d7%99%d7%93%d7%aa-2-%d7%93%d7%9c%d7%aa%d7%95%d7%aa-2-%d7%9e%d7%92%d7%99%d7%a8%d7%95%d7%aa-375/,שידה – מאור,375,499.00,סיבית מצופה מלמין,130₪,₪170.00,,"מייפל
שיטה",https://yiron.co.il/wp-content/uploads/2018/02/375_Yiron.pdf,"https://yiron.co.il/wp-content/uploads/2017/12/375_Shita-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/375_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/375_Maple-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/375_Maple-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/375_Maple-03_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/375_Maple-04_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/375_Shita-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/375_Shita-03_1081x800_G.jpg","375_Shita-01_1081x800_G.jpg
375_1081x800_G.jpg
375_Maple-01_1081x800_G.jpg
375_Maple-02_1081x800_G.jpg
375_Maple-03_1081x800_G.jpg
375_Maple-04_1081x800_G.jpg
375_Shita-02_1081x800_G.jpg
375_Shita-03_1081x800_G.jpg","
שידה 2 דלתות + 2 מגירות,
מתאימה לסלון, לכניסת הבית ,לחדר שינה, חדר ילדים ולמשרד
מידות:
ג: 86.5 ס”מ
ע: 39.5 ס”מ
ר: 80 ס”מ

מידות השידה הן חיצוניות בלבד
","<div><div>
<p><span>שידה 2 דלתות + 2 מגירות,</span><br>
<span>מתאימה לסלון, לכניסת הבית ,לחדר שינה, חדר ילדים ולמשרד</span></p>
<div><span>מידות:</span><br>
<span>ג: 86.5 ס”מ</span><br>
<span>ע: 39.5 ס”מ</span><br>
<span>ר: 80 ס”מ</span></div>
</div>
<p><strong>מידות השידה הן חיצוניות בלבד</strong></p>
</div>","707-710
386
709-10"
https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/,שידות,https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/%d7%a9%d7%99%d7%93%d7%95%d7%aa-%d7%90%d7%97%d7%a1%d7%95%d7%9f/,שידות אחסון,,,https://yiron.co.il/product/%d7%a9%d7%99%d7%93%d7%aa-3-%d7%93%d7%9c%d7%aa%d7%95%d7%aa-2-%d7%9e%d7%92%d7%99%d7%a8%d7%95%d7%aa-376/,שידה – הילה,376,619.00,סיבית מצופה מלמין,130₪,₪170.00,,מייפל,https://yiron.co.il/wp-content/uploads/2018/02/376_Yiron.pdf,"https://yiron.co.il/wp-content/uploads/2017/12/376_Shita-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/376_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/376_Shita-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/376_Shita-03_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/376_Shita-04_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/376_Mapel_S-1.png
https://yiron.co.il/wp-content/uploads/2020/08/376_Mapel_open_S.png","376_Shita-01_1081x800_G.jpg
376_1081x800_G.jpg
376_Shita-02_1081x800_G.jpg
376_Shita-03_1081x800_G.jpg
376_Shita-04_1081x800_G.jpg
376_Mapel_S-1.png
376_Mapel_open_S.png","
שידה 3 דלתות + 2 מגירות מהודרת.
מתאימה לחדרי שינה ,לכניסה ,לסלון או למשרד.
בעלת מקום רב לאחסון.
מידות:
ג: 86.5 ס”מ
ע: 39.5 ס”מ
ר: 119 ס”מ

מידות השידה הן חיצוניות בלבד
","<div><div>
<p><span>שידה 3 דלתות + 2 מגירות מהודרת.</span><br>
<span>מתאימה לחדרי שינה ,לכניסה ,לסלון או למשרד.</span><br>
<span>בעלת מקום רב לאחסון.</span></p>
<div><span>מידות:</span><br>
<span>ג: 86.5 ס”מ</span><br>
<span>ע: 39.5 ס”מ</span><br>
<span>ר: 119 ס”מ</span></div>
</div>
<p><strong>מידות השידה הן חיצוניות בלבד</strong></p>
</div>","602E
374
385"
https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/,שידות,https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/%d7%a9%d7%99%d7%93%d7%95%d7%aa-%d7%90%d7%97%d7%a1%d7%95%d7%9f/,שידות אחסון,,,https://yiron.co.il/product/%d7%a9%d7%99%d7%93%d7%aa-5-%d7%9e%d7%92%d7%99%d7%a8%d7%95%d7%aa-374/,שידה – שוהם,374,579.00,סיבית מצופה מלמין,130₪,₪170.00,,"מייפל
שיטה",https://yiron.co.il/wp-content/uploads/2018/02/374_Yiron.pdf,"https://yiron.co.il/wp-content/uploads/2017/12/374_Maple-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/374_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/374_Maple-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/374_Maple-03_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/374_Shita-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/374_Shita-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/374_Shita-03_1081x800_G.jpg","374_Maple-01_1081x800_G.jpg
374_1081x800_G.jpg
374_Maple-02_1081x800_G.jpg
374_Maple-03_1081x800_G.jpg
374_Shita-01_1081x800_G.jpg
374_Shita-02_1081x800_G.jpg
374_Shita-03_1081x800_G.jpg","
חומרים:
שידת 5 מגירות,
מתאימה לחדר שינה לכניסת הבית או לניירת משרדית
מידות:
ג: 86.5 ס”מ
ע: 39.5 ס”מ
ר: 80 ס”מ

מידות השידה הן חיצוניות בלבד
","<div><div>
<p><span>חומרים:</span></p>
<p><span>שידת 5 מגירות,</span><br>
<span>מתאימה לחדר שינה לכניסת הבית או לניירת משרדית</span></p>
<div><span>מידות:</span><br>
<span>ג: 86.5 ס”מ</span><br>
<span>ע: 39.5 ס”מ</span><br>
<span>ר: 80 ס”מ</span></div>
</div>
<p><strong>מידות השידה הן חיצוניות בלבד</strong></p>
</div>","387
607-607E
509"
https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/,שידות,https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/%d7%a9%d7%99%d7%93%d7%95%d7%aa-%d7%98%d7%9c%d7%95%d7%99%d7%96%d7%99%d7%94/,שידות טלוויזיה,,,https://yiron.co.il/product/%d7%a9%d7%99%d7%93%d7%aa-%d7%98%d7%9c%d7%95%d7%99%d7%96%d7%99%d7%94-2-%d7%9e%d7%92%d7%99%d7%a8%d7%95%d7%aa-509/,שידה – רביד,509,499.00,סיבית מצופה מלמין,150₪,₪140.00,,אלון,https://yiron.co.il/wp-content/uploads/2017/12/509.pdf,"https://yiron.co.il/wp-content/uploads/2017/12/509_Alon-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/509_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/509_Alon-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/509_Alon-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/509_Alon-03_1081x800_G.jpg","509_Alon-01_1081x800_G.jpg
509_1081x800_G.jpg
509_Alon-01_1081x800_G.jpg
509_Alon-02_1081x800_G.jpg
509_Alon-03_1081x800_G.jpg","
עומדת על במה עם רגליות.
מתאימה לסלון, לחדרי ילדים ,לכניסת הבית.
מידות:
ג: 47.5 ס”מ
ע: 39 ס”מ
ר: 118 ס”מ

מידות השידה הן חיצוניות בלבד
","<div><div>
<p><span>עומדת על במה עם רגליות.</span><br>
<span>מתאימה לסלון, לחדרי ילדים ,לכניסת הבית.</span></p>
<div><span>מידות:</span><br>
<span>ג: 47.5 ס”מ</span><br>
<span>ע: 39 ס”מ</span><br>
<span>ר: 118 ס”מ</span></div>
</div>
<p><strong>מידות השידה הן חיצוניות בלבד</strong></p>
</div>","385
374
376"
https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/,שידות,https://yiron.co.il/product-category/%d7%a9%d7%99%d7%93%d7%95%d7%aa/%d7%a9%d7%99%d7%93%d7%95%d7%aa-%d7%90%d7%97%d7%a1%d7%95%d7%9f/,שידות אחסון,,,https://yiron.co.il/product/%d7%a9%d7%99%d7%93%d7%aa-4-%d7%9e%d7%92%d7%99%d7%a8%d7%95%d7%aa-%d7%9c%d7%99%d7%a8%d7%95%d7%9f/,שידה – לירון,384,699.00,סיבית מצופה מלמין,150₪,₪170.00,,,https://yiron.co.il/wp-content/uploads/2020/06/384-Assembly-Instructions.pdf,"https://yiron.co.il/wp-content/uploads/2020/06/384_White-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2020/06/384_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2020/06/384_White-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2020/06/384_White-03_1081x800_G.jpg","384_White-01_1081x800_G.jpg
384_1081x800_G.jpg
384_White-02_1081x800_G.jpg
384_White-03_1081x800_G.jpg","
שידה 4 מגירות מתאימה לסלון, לכניסת הבית ,לחדר שינה, חדר ילדים ולמשרד.
מידות:
ג: 91 ס”מ
ע: 50 ס”מ
ר: 80 ס”מ

מידות השידה הן חיצוניות בלבד
","<div><div>
<p><span>שידה 4 מגירות מתאימה לסלון, לכניסת הבית ,לחדר שינה, חדר ילדים ולמשרד.</span></p>
<p><span>מידות:</span><br>
<span>ג: 91 ס”מ</span><br>
<span>ע: 50 ס”מ</span><br>
<span>ר: 80 ס”מ</span></p>
</div>
<p><strong>מידות השידה הן חיצוניות בלבד</strong></p>
</div>","607-607E
709-10
702-702E"
https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/,ארונות,https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/%d7%90%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c/,ארונית למיקרוגל,,,https://yiron.co.il/product/%d7%90%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c-4-%d7%93%d7%9c%d7%aa%d7%95%d7%aa-407/,ארון מיקרוגל – עדי,407,759.00,סיבית מצופה מלמין,160₪,₪190.00,,,https://yiron.co.il/wp-content/uploads/2017/12/407-הוראות-הרכבה.pdf,"https://yiron.co.il/wp-content/uploads/2017/12/407_White-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/407_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/407_White-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/407_White-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/407_White-03_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/407_White-04_1081x800_G.jpg","407_White-01_1081x800_G.jpg
407_1081x800_G.jpg
407_White-01_1081x800_G.jpg
407_White-02_1081x800_G.jpg
407_White-03_1081x800_G.jpg
407_White-04_1081x800_G.jpg","
ארונית מיקרוגל חדשה ומהודרת,
עם מקום רב לאחסון 4 דלתות ומגירה נשלפת.
מידות:
ג: 188 ס”מ
ע: 42 ס”מ
ר: 80 ס”מ
מידות פתח המיקרוגל:
ג: 39.5 ס”מ
ר: 76 ס”מ

מידות הארון הן חיצוניות בלבד
","<div><div>
<p><span>ארונית מיקרוגל חדשה ומהודרת,</span><br>
<span>עם מקום רב לאחסון 4 דלתות ומגירה נשלפת.</span></p>
<div><span>מידות:</span><br>
<span>ג: 188 ס”מ</span><br>
<span>ע: 42 ס”מ</span><br>
<span>ר: 80 ס”מ</span></div>
<div><strong>מידות פתח המיקרוגל:</strong></div>
<div>ג: 39.5 ס”מ</div>
<div>ר: 76 ס”מ</div>
</div>
<p><strong>מידות הארון הן חיצוניות בלבד</strong></p>
</div>","126
607E
125"
https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/,ארונות,https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa-%d7%91%d7%92%d7%93%d7%99%d7%9d/,ארונות בגדים,,,https://yiron.co.il/product/%d7%90%d7%a8%d7%95%d7%9f-4-%d7%93%d7%9c%d7%aa%d7%95%d7%aa-2-%d7%9e%d7%92%d7%99%d7%a8%d7%95%d7%aa-707/,ארון – ארבל,707,"1,349.00",סיבית מצופה מלמין,180₪,₪220.00,,"אלון
פשתן",https://yiron.co.il/wp-content/uploads/2018/02/707_Yiron.pdf,"https://yiron.co.il/wp-content/uploads/2017/12/707_Alon-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/707_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/707_Alon-01_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/707_Alon-02_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/707_Alon-03_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2017/12/707-front-2.jpg
https://yiron.co.il/wp-content/uploads/2017/12/707-P-SIDE-OPEN-2.jpg
https://yiron.co.il/wp-content/uploads/2017/12/707-P-SIDE.jpg","707_Alon-01_1081x800_G.jpg
707_1081x800_G.jpg
707_Alon-01_1081x800_G.jpg
707_Alon-02_1081x800_G.jpg
707_Alon-03_1081x800_G.jpg
707-front-2.jpg
707-P-SIDE-OPEN-2.jpg
707-P-SIDE.jpg","
ארון 4 דלתות + 2 מגירות חיצוניות, מכיל הרבה מדפים ועם תליה רחבה
עומד על במה למניעת רטיבות.
ניתן להוסיף מדף גדול טורונטו
מידות:
ג: 184 ס”מ
ע: 52.5 ס”מ
ר: 158.5 ס”מ

עומק המדפים 40 ס”מ
מידות הארון הן חיצוניות בלבד
","<div><div>
<p><span>ארון 4 דלתות + 2 מגירות חיצוניות, מכיל הרבה מדפים ועם תליה רחבה</span><br>
<span>עומד על במה למניעת רטיבות.</span></p>
<p><strong>ניתן להוסיף מדף גדול טורונטו</strong></p>
<div><span>מידות:</span><br>
<span>ג: 184 ס”מ</span><br>
<span>ע: 52.5 ס”מ</span><br>
<span>ר: 158.5 ס”מ</span></div>
</div>
<p><strong>עומק המדפים 40 ס”מ</strong></p>
<p><strong>מידות הארון הן חיצוניות בלבד</strong></p>
</div>","703
126
710"
https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/,ארונות,https://yiron.co.il/product-category/%d7%90%d7%a8%d7%95%d7%a0%d7%95%d7%aa/%d7%90%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c/,ארונית למיקרוגל,,,https://yiron.co.il/product/%d7%90%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%9c%d7%aa%d7%a0%d7%95%d7%a8-%d7%91%d7%99%d7%9c%d7%98-%d7%90%d7%99%d7%9f-%d7%9e%d7%95%d7%92%d7%91%d7%94/,ארונית לתנור בילט-אין מוגבה,777a,738.00,סיבית מצופה מלמין,150₪,₪150.00,,,,"https://yiron.co.il/wp-content/uploads/2018/11/777-White_1081x800_G.jpg
https://yiron.co.il/wp-content/uploads/2018/11/777-White_1081x800_G.jpg","777-White_1081x800_G.jpg
777-White_1081x800_G.jpg","
ארונית לתנור בילט אין מוגבה, לגובה יד, המכילה 2 מגירות עמוקות לאחסון תבניות או סירים.
לארונית גומחה לתנור בילט אין במידות סטנדרטיות.
למוצר רגלי מתכת ליציבות וחוזק מרבי.
מידות:
ג: 134 ס”מ
ע: 59 ס”מ
ר: 60 ס”מ

","<div><div>
<p><span>ארונית לתנור בילט אין מוגבה, לגובה יד, המכילה 2 מגירות עמוקות לאחסון תבניות או סירים.</span></p>
<p><span>לארונית גומחה לתנור בילט אין במידות סטנדרטיות.</span></p>
<p><span>למוצר רגלי מתכת ליציבות וחוזק מרבי.</span></p>
<div><span>מידות:</span><br>
<span>ג: 134 ס”מ</span><br>
<span>ע: 59 ס”מ</span><br>
<span>ר: 60 ס”מ</span></div>
</div>
</div>","124
709M
606"
